9565,Schwabach,kreisfreie Stadt,41227
9571,Ansbach,Landkreis,188623
9572,Erlangen-Höchstadt,Landkreis,140994
9573,Fürth,Landkreis,119923
9574,Nürnberger Land,Landkreis,172665
9575,Neustadt a.d.Aisch-Bad Windsheim,Landkreis,103303
9576,Roth,Landkreis,128694
9577,Weißenburg-Gunzenhausen,Landkreis,97120
96,Unterfranken,Regierungsbezirk,1334376
9661,Aschaffenburg,kreisfreie Stadt,72444
9662,Schweinfurt,kreisfreie Stadt,54675
9663,Würzburg,kreisfreie Stadt,127810
9671,Aschaffenburg,Landkreis,176958
9672,Bad Kissingen,Landkreis,104567
9673,Rhön-Grabfeld,Landkreis,80341
9674,Haßberge,Landkreis,84984
9675,Kitzingen,Landkreis,93247
9676,Miltenberg,Landkreis,129835
9677,Main-Spessart,Landkreis,127132
9678,Schweinfurt,Landkreis,117044
9679,Würzburg,Landkreis,165339
97,Schwaben,Regierungsbezirk,1945978
9761,Augsburg,kreisfreie Stadt,301033
9762,Kaufbeuren,kreisfreie Stadt,45792
9763,Kempten,kreisfreie Stadt,70056
9764,Memmingen,kreisfreie Stadt,45857
9771,Aichach-Friedberg,Landkreis,137334
9772,Augsburg,Landkreis,261342
9773,Dillingen a.d.Donau,Landkreis,99109
9774,Günzburg,Landkreis,130112
9775,Neu-Ulm,Landkreis,180425
9776,Lindau (Bodensee),Landkreis,83393
9777,Ostallgäu,Landkreis,145378
9778,Unterallgäu,Landkreis,150068
9779,Donau-Ries,Landkreis,137137
9780,Oberallgäu,Landkreis,158942
10,Saarland,Bundesland,992666
10041,Saarbrücken, Regionalverband,330848
10041100,Saarbrücken,Landeshauptstadt,181959
10042,Merzig-Wadern,Landkreis,104425
10043,Neunkirchen,Landkreis,132283
10044,Saarlouis,Landkreis,195749
10045,Saarpfalz-Kreis,Landkreis,142419
10046,St. Wendel,Landkreis,86942
11,Berlin,Bundesland,3755251
12,Brandenburg,Bundesland,2573135
12051,Brandenburg an der Havel,kreisfreie Stadt,73609
12052,Cottbus,kreisfreie Stadt,99515
12053,Frankfurt (Oder),kreisfreie Stadt,58230
12054,Potsdam,kreisfreie Stadt,185750
12060,Barnim,Landkreis,191849
12061,Dahme-Spreewald,Landkreis,178967
12062,Elbe-Elster,Landkreis,100902
12063,Havelland,Landkreis,169334
12064,Märkisch-Oderland,Landkreis,200292
12065,Oberhavel,Landkreis,218551
12066,Oberspreewald-Lausitz,Landkreis,108263
12067,Oder-Spree,Landkreis,182401
12068,Ostprignitz-Ruppin,Landkreis,99871
12069,Potsdam-Mittelmark,Landkreis,222570
12070,Prignitz,Landkreis,76045
12071,Spree-Neiße,Landkreis,112493
12072,Teltow-Fläming,Landkreis,176648
12073,Uckermark,Landkreis,117845
13,Mecklenburg-Vorpommern,Bundesland,1628378
13001,Greifswald,kreisfreie Stadt,
13002,Neubrandenburg,kreisfreie Stadt,
13003,Rostock,kreisfreie Stadt,209920
13004,Schwerin,kreisfreie Stadt,98596
