288,Hamburg,Hamburg,Holstenhofweg 85,22043
289,Nordrhein-Westfalen,Hamm,Marker Allee 76-78,59063
290,Niedersachsen,Hannover,Freundallee 15,30173
291,Niedersachsen,Hannover,Expo Plaza 4,30539
292,Niedersachsen,Hannover,Neues Haus 1,30175
293,Niedersachsen,Hannover,Expo Plaza 11,30539
294,Niedersachsen,Hannover,Carl-Neuberg-Str. 1,30625
295,Niedersachsen,Hannover,Bünteweg 2,30559
296,Niedersachsen,Hannover,Welfengarten 1,30167
297,Sachsen-Anhalt,Wernigerode,Friedrichstraße 57-59,38855
298,Baden-Württemberg,Heidelberg,Ludwig-Guttmann-Str. 6,69123
299,Baden-Württemberg,Heidelberg,Landfriedstraße 12,69117
300,Baden-Württemberg,Heidelberg,Hildastr. 8,69115
301,Baden-Württemberg,Heidelberg,Sickingenstraße 63-65,69126
302,Baden-Württemberg,Heidelberg,Keplerstraße 87,69120
303,Baden-Württemberg,Heidelberg,Seminarstraße 2,69117
304,Baden-Württemberg,Heilbronn,Max-Planck-Straße 39,74081
305,Nordrhein-Westfalen,Herford,Parkstr. 6,32049
306,Niedersachsen,Hermannsburg,Missionsstraße 3-5,29320
307,Hessen,Rotenburg,Josef-Durstewitz Straße 2-6,36199
308,Hessen,Wiesbaden,Schönbergstraße 100,65199
309,Niedersachsen,Hildesheim,Universitätsplatz 1,31141
310,Niedersachsen,Hildesheim,Hohnsen 4,31134
311,Bayern,Hof,Alfons-Goppel-Platz 1,95028
312,Baden-Württemberg,Stuttgart,Schloss Hohenheim 1,70599
313,Hessen,Idstein,Limburger Straße 2,65510
314,Thüringen,Ilmenau,Ehrenbergstraße 29,98693
315,Bayern,Ingolstadt,Esplanade 10,85049
316,Bayern,Ismaning,Steinheilstraße 4,85737
317,Thüringen,Jena,Carl-Zeiss-Promenade 2,7745
318,Thüringen,Jena,Fürstengraben 1,7743
319,Rheinland-Pfalz,Kaiserslautern,Schoenstr. 11,67659
320,Rheinland-Pfalz,Kaiserslautern,Gottlieb-Daimler-Straße 47,67663
321,Baden-Württemberg,Karlsruhe,Reinhold-Frank-Straße 67,76133
322,Baden-Württemberg,Karlsruhe,Moltkestraße 30,76133
323,Baden-Württemberg,Karlsruhe,Lorenzstr. 15,76135
324,Baden-Württemberg,Karlsruhe,Am Schloss Gottesaue 7,76131
325,Baden-Württemberg,Karlsruhe,Karlstraße 36 - 38,76133
326,Baden-Württemberg,Karlsruhe,Bismarckstraße 10,76133
327,Baden-Württemberg,Karlsruhe,Kaiserstraße 12,76131
328,Hessen,Kassel,Hugo-Preuß-Straße 40,34131
329,Hessen,Kassel,Mönchebergstraße 19,34125
330,Bayern,Kempten,Bahnhofstraße 61,87435
331,Schleswig-Holstein,Kiel,Sokratesplatz 1,24149
332,Schleswig-Holstein,Kiel,Legienstraße 35,24103
333,Schleswig-Holstein,Kiel,Christian-Albrechts-Platz 4,24118
334,Rheinland-Pfalz,Koblenz,Konrad-Zuse-Straße 1,56075
335,Rheinland-Pfalz,Koblenz,Kornpfortstraße 15,56068
336,Rheinland-Pfalz,Koblenz,Universitätsstraße 1,56070
337,Nordrhein-Westfalen,Köln,Bahnstraße 6 - 8,50996
338,Nordrhein-Westfalen,Köln,Am Sportpark Müngersdorf 6,50933
339,Nordrhein-Westfalen,Köln,Unter Krahnenbäumen 87,50668
340,Nordrhein-Westfalen,Köln,Widdersdorfer Straße 262,50933
341,Nordrhein-Westfalen,Köln,Gleuelerstraße 262-268,50935
342,Nordrhein-Westfalen,Köln,Mevissenstr.3,50668
343,Nordrhein-Westfalen,Köln,Peter-Welter-Platz 2,50676
344,Nordrhein-Westfalen,Köln,Schaevenstraße 1a-b,50676
345,Nordrhein-Westfalen,Köln,Claudiusstraße 1,50678
346,Nordrhein-Westfalen,Köln,Albertus-Magnus-Platz,50931
