Dortmund FH,Fachhochschule Dortmund,14371,1890,http://www.fh-dortmund.de
Dortmund ISM,International School of Management,3444,1990,https://www.ism.de
Dortmund TU,Technische Universität Dortmund,30013,1968,http://www.tu-dortmund.de
Dresden DIU,DIU - Dresden International University GmbH,1283,2003,https://www.di-uni.de/
Dresden EvH,Evangelische Hochschule Dresden,839,1991,www.ehs-dresden.de
Dresden HfBK,Hochschule für Bildende Künste Dresden,555,1764,http://www.hfbk-dresden.de
Dresden HfKiM,Hochschule für Kirchenmusik der Evangelisch-Lutherischen Landeskirche Sachsens,24,1949,http://www.kirchenmusik-dresden.de
Dresden HfM,Hochschule für Musik Carl Maria von Weber Dresden,692,1856,http://www.hfmdd.de
Dresden HfTanz,Palucca Hochschule für Tanz Dresden,168,1925,http://www.palucca.eu
Dresden HTW,Hochschule für Technik und Wirtschaft Dresden  - University of Applied Sciences,4634,1992,http://www.htw-dresden.de
Dresden PFH,Fachhochschule Dresden,539,2010,https://www.fh-dresden.eu
Dresden TU,Technische Universität Dresden,28959,1828,https://tu-dresden.de
Duisburg-Essen U,Universität Duisburg-Essen,38001,2003,http://www.uni-due.de
Düsseldorf FliednerFH,Fliedner Fachhochschule Düsseldorf,2204,2011,http://www.fliedner-fachhochschule.de
Düsseldorf H,Hochschule Düsseldorf,11172,1971,https://www.hs-duesseldorf.de/studienangebot
Düsseldorf HfM,Robert-Schumann-Hochschule Düsseldorf,837,1935,http://www.rsh-duesseldorf.de
Düsseldorf IST,IST-Hochschule für Management,4278,2012,https://www.ist-hochschule.de
Düsseldorf KuAk,Kunstakademie Düsseldorf,546,1814,http://www.kunstakademie-duesseldorf.de
Düsseldorf U,Heinrich-Heine-Universität Düsseldorf,29218,1965,http://www.hhu.de
Eberswalde FH Gesundheit,Hochschule für Gesundheitsfachberufe Eberswalde,,2023,https://gesundheit-hochschule.de/
Eberswalde H,Hochschule für nachhaltige Entwicklung Eberswalde,2297,1830,https://www.hnee.de/
Eichstätt - Ingolstadt U,Katholische Universität Eichstätt - Ingolstadt,4800,1980,http://www.ku.de
Elmshorn FH Nordakademie,NORDAKADEMIE Hochschule der Wirtschaft,2481,1992,https://www.nordakademie.de
Elstal ThH,Theologische Hochschule Elstal,39,1880,http://www.th-elstal.de/
Emden/Leer H,Hochschule Emden/Leer,4264,2009,http://www.hs-emden-leer.de/
Erfurt FH,Fachhochschule Erfurt,4063,1991,http://www.fh-erfurt.de
Erfurt HMU,HMU Health and Medical University,1433,2019,https://www.health-and-medical-university.de
Erfurt IU,IU Internationale Hochschule,116027,1998,https://www.iu.de/
Erfurt U,Universität Erfurt,5795,1994,http://www.uni-erfurt.de
Erlangen-Nürnberg U,Friedrich-Alexander-Universität Erlangen-Nürnberg,38960,1743,http://www.fau.de
Essen FOM,FOM Hochschule für Oekonomie & Management - University of Applied Sciences,47191,1993,https://www.fom.de
Essen HBK,Hochschule der bildenden Künste (HBK) Essen,322,2013,http://hbk-essen.de/
Essen UdK,Folkwang Universität der Künste,1625,1927,http://www.folkwang-uni.de
Esslingen H,Hochschule Esslingen,6594,1868,http://www.hs-esslingen.de
Ewersbach ThH,Theologisches Hochschule Ewersbach,47,1912,http://th-ewersbach.de
Flensburg H,Hochschule Flensburg,3355,1886,http://www.hs-flensburg.de
